Id,Country,OPANAL,EU,ATT,UNRCPD,protocal1,protocal2,protocal3,military,free
0,Afghanistan,0,0,1,1,1,1,0,-0.201012686,-1.08476466
1,Albania,0,1,1,0,1,1,1,-0.201942923,0.37617154
2,Algeria,0,0,1,0,1,1,0,-0.005527685,-0.71953061
3,Angola,0,0,1,0,1,0,0.6,-0.144209312,-1.08476466
4,Argentina,1,0,1,0,1,1,1,-0.096796361,0.841014877
5,Armenia,0,0,1,0,1,1,1,-0.196023597,-0.387499655
6,Australia,0,0,1,1,1,1,1,0.342986843,1.372264405
7,Austria,0,1,1,0,1,1,1,-0.142716041,1.272655118
8,Azerbaijan,0,0,1,0,0,0,0,-0.174555183,-1.416795615
9,Bahamas,1,0,1,0,1,1,0,-0.203849567,1.139842736
10,Bahrain,0,0,0,0,1,1,0,-0.17447896,-1.483201806
11,Bangladesh,0,0,1,1,1,1,0,-0.133702391,-0.321093464
12,Belarus,0,0,0,0,1,1,1,-0.192313777,-1.217577042
13,Belgium,0,1,1,0,1,1,1,-0.116083648,1.272655118
14,Bhutan,0,0,1,1,0,0,0,-0.2,-0.9
15,Bolivia,1,0,1,0,1,1,0.6,-0.19344284,0.37617154
16,Botswana,0,0,1,0,1,1,0,-0.194464378,0.508983922
17,Brazil,1,0,1,0,1,1,1,0.374478579,0.741405591
18,Brunei,0,0,1,0,1,1,0,-0.197940545,-0.918749183
19,Bulgaria,0,1,1,0,1,1,1,-0.188495025,0.774608686
20,Burkina Faso,0,0,1,0,1,1,1,-0.201019437,0.210156063
21,Burundi,0,0,1,0,1,1,0.6,-0.203534861,-1.250780138
22,Cameroon,0,0,1,0,1,1,0,-0.196724925,-1.08476466
23,Canada,0,1,1,0,1,1,1,0.217415748,1.4054675
24,Central African Republic,0,0,1,0,1,1,0,-0.204254777,-1.549607997
25,Chad,0,0,1,0,1,1,0,-0.20046524,-1.283983233
26,Chile,1,0,1,0,1,1,1,-0.098569335,1.239452023
27,China,0,0,0,1,1,1,0,4.302125409,-1.38359252
28,Colombia,1,0,1,0,1,1,0.6,-0.006622307,0.243359159
29,Cote d'Ivoire,0,0,1,0,1,1,0,-0.155077987,-0.194876867
30,Croatia,0,1,1,0,1,1,1,-0.189284056,1.007030354
31,Cyprus,0,1,1,0,1,1,1,-0.19772939,1.239452023
32,Czechia,0,1,1,0,1,1,1,1.239452023,-0.163697579
33,Democratic Republic of the Congo,0,0,1,0,1,1,0,-0.19895874,-0.985155374
34,Denmark,0,1,1,0,1,1,1,-0.130338947,1.339061309
35,Djibouti,0,0,1,0,1,1,0,-0.204007823,-1.018358469
36,Dominican Republic,1,0,1,0,1,1,1,-0.194253762,0.37617154
37,Ecuador,1,0,1,0,1,1,0.6,-0.15608194,0.01093749
38,Egypt,0,0,0,0,1,1,0,-0.150090197,-1.018358469
39,El Salvador,1,0,1,0,1,1,1,-0.199637976,0.442577731
40,Equatorial Guinea,0,0,1,0,1,1,0,-0.204552026,-1.616014188
41,Estonia,0,1,1,0,1,1,1,-0.194167454,1.239452023
42,Ethiopia,0,0,1,0,1,1,0.6,-0.194845622,-1.483201806
43,Fiji,0,0,1,1,1,1,1,-0.203894951,0.077343681
44,Finland,0,1,1,0,1,1,1,-0.136947428,1.438670596
45,France,0,1,1,0,1,1,1,0.990380645,1.106639641
46,Gabon,0,0,1,0,1,1,0,-0.199508785,-0.819139897
47,Georgia,0,0,1,0,1,1,1,-0.19870175,0.243359159
48,Germany,0,1,1,0,1,1,1,0.692942713,1.272655118
49,Ghana,0,0,1,0,1,1,0.6,-0.201057735,0.874217973
50,Greece,0,1,1,0,1,1,1,-0.104033705,0.907421068
51,Guatemala,1,0,1,0,1,1,1,-0.199358757,-0.088671796
52,Guinea,0,0,1,0,1,1,0,-0.200856195,-0.520312037
53,Guyana,1,0,1,0,1,1,1,-0.203617624,0.575390113
54,Honduras,1,0,1,0,1,1,1,-0.19691676,-0.35429656
55,Hungary,0,1,1,0,1,1,1,-0.175857743,0.641796304
56,India,0,0,0,1,0,0,0,1.072316486,0.6749994
57,Indonesia,0,0,1,1,0,0,0,-0.043018945,0.276562254
58,Iran,0,0,0,0,0.6,0.6,0,0.070788007,-1.317186329
59,Iraq,0,0,0,0,1,0,0,-0.058088076,-0.985155374
60,Ireland,0,1,1,0,1,1,0.6,-0.184521285,1.305858214
61,Israel,0,0,0,0,0,0,1,0.103436477,0.774608686
62,Italy,0,1,1,0,1,1,1,0.318393458,1.073436545
63,Jamaica,1,0,1,0,1,1,0.6,-0.201959484,0.608593209
64,Japan,0,0,1,1,1,1,0,0.693047751,1.305858214
65,Jordan,0,0,1,0,1,1,0,-0.166427571,-0.653124419
66,Kazakhstan,0,0,1,1,1,1,1,-0.177289859,-1.151170851
67,Kenya,0,0,1,0,1,1,1,-0.184712749,-0.188281083
68,Kuwait,0,0,0,0,1,1,0,-0.070980968,-0.686327515
69,Kyrgyzstan,0,0,1,1,1,1,0,-0.202395276,-0.653124419
70,Laos,0,0,0,1,1,1,0,-0.204350052,-1.483201806
71,Latvia,0,1,1,0,1,1,1,-0.194722342,1.007030354
72,Lebanon,0,0,1,0,1,1,0,-0.156509729,-0.420702751
73,Lesotho,0,0,1,0,1,1,0,-0.203758672,0.243359159
74,Libya,0,0,1,0,1,1,0,-0.079776781,-1.44999871
75,Lithuania,0,1,1,0,1,1,1,-0.188733959,1.139842736
76,Luxembourg,0,1,1,0,1,1,1,-0.197723639,1.372264405
77,Macedonia,0,0,1,0,1,1,1,-0.20258695,0.01093749
78,Malawi,0,0,1,0,1,1,0,-0.203861109,0.210156063
79,Malaysia,0,0,1,1,0,0,0,-0.135664286,-0.420702751
80,Mali,0,0,1,0,1,1,0,-0.195724908,-0.387499655
81,Malta,0,1,1,0,1,1,0.6,-0.203528388,1.305858214
82,Mauritania,0,0,1,0,1,1,0,-0.201955057,-0.885546087
83,Mauritius,0,0,1,0,1,1,0,-0.204327835,1.073436545
84,Mexico,1,0,1,0,1,0,1,-0.090430634,0.276562254
85,Montenegro,0,1,1,0,1,1,0,-0.203498735,0.409374636
86,Morocco,0,0,1,0,1,1,0,-0.136324427,-0.520312037
87,Mozambique,0,0,1,0,1,1,0,-0.202260671,-0.121874892
88,Myanmar,0,0,1,1,0,0,0,-0.136265079,-0.819139897
89,Namibia,0,0,1,0,1,1,0,-0.195741272,0.6749994
90,Nepal,0,0,0,1,0,0,0.6,-0.19679322,-0.155077987
91,Netherlands,0,1,1,0,1,1,1,-0.015273858,1.4054675
92,New Zealand,0,0,1,1,1,1,1,-0.158743478,1.372264405
93,Nicaragua,1,0,1,0,1,1,1,-0.2030835,-0.321093464
94,Niger,0,0,1,0,1,1,0,-0.200839063,-0.254687273
95,Nigeria,0,0,1,0,1,1,0,-0.172728145,-0.221484178
96,Norway,0,1,1,0,1,1,1,-0.076893545,1.438670596
97,Oman,0,0,0,0,1,1,0,-0.07022868,-1.051561565
98,Pakistan,0,0,0,1,0.6,0.6,0,0.021927571,-0.453905846
99,Panama,1,0,1,0,1,1,1,-0.204799104,0.874217973
100,Papua New Guinea,0,0,1,1,0,0,0,-0.203376626,0.243359159
101,Peru,1,0,1,0,1,1,1,-0.152064504,0.508983922
102,Philippines,0,0,1,1,1,1,1,-0.130510698,0.210156063
103,Poland,0,1,1,0,1,1,1,-0.009537171,1.073436545
104,Portugal,0,1,1,0,1,1,1,-0.132663694,1.339061309
105,Qatar,0,0,0,0,1,1,0,-0.087946753,-1.018358469
106,Republic of Korea,0,0,1,1,1,1,0.6,0.57007584,0.841014877
107,Romania,0,1,1,0,1,1,1,-0.133147298,0.907421068
108,Russia,0,0,0,0,1,1,0.6,1.11124489,-1.217577042
109,Rwanda,0,0,1,0,1,1,0,-0.202509992,-1.08476466
110,Saudi Arabia,0,0,1,0,1,1,0,1.187854613,-1.549607997
111,Senegal,0,0,1,0,1,1,0,-0.198756861,0.708202495
112,Serbia,0,0,1,0,1,1,1,-0.188939862,0.641796304
113,Seychelles,0,0,1,0,1,1,0,-0.204358785,0.475780827
114,Sierra Leone,0,0,1,0,1,1,0.6,-0.204016175,0.30976535
115,Singapore,0,0,1,1,0,0,1,-0.003107198,-0.188281083
116,Slovakia,0,1,1,0,1,1,1,-0.184046301,1.073436545
117,Slovenia,0,1,1,0,1,1,1,-0.19542645,1.173045832
118,Somalia,0,0,1,0,0,0,0,-0.204799104,-1.715623474
119,South Africa,0,0,1,0,1,1,0,-0.132813613,0.708202495
120,South Sudan,0,0,1,0,1,1,1,-0.203367121,-1.74882657
121,Spain,0,1,1,0,1,1,1,0.11257428,1.239452023
122,Sri Lanka,0,0,1,1,0,0,0,-0.167875295,-0.022265605
123,Sudan,0,0,0,0,1,1,0,-0.118094564,-1.682420379
124,Sweden,0,1,1,0,1,1,1,-0.095471969,1.438670596
125,Switzerland,0,0,1,0,1,1,1,-0.113240005,1.305858214
126,Syria,0,0,0,0,1,0,0,-0.145453065,-1.914842047
127,Taiwan,0,0,1,0,1,1,1,0.002515925,1.139842736
128,Tajikistan,0,0,1,1,1,1,0,-0.203222477,-1.516404901
129,Tanzania,0,0,1,0,1,1,1,-0.19270803,0.044140586
130,Thailand,0,0,1,1,0,0,0,-0.080056099,-0.819139897
131,Trinidad and Tobago,0,0,1,0,1,1,0,-0.200787964,0.807811782
132,Tunisia,0,0,1,0,1,1,0,-0.187807352,0.708202495
133,Turkey,0,1,1,0,0,0,0.6,0.147795645,-0.619921324
134,Turkmenistan,0,0,1,1,1,1,0,-0.200882265,-1.74882657
135,UAE,0,0,0,0,1,1,0,0.281858199,-1.217577042
136,Uganda,0,0,1,0,1,1,1,-0.197939436,-0.71953061
137,Ukraine,0,0,1,0,1,1,1,-0.132642922,0.143749872
138,United Kingdom,0,1,1,0,1,1,1,0.713745109,1.272655118
139,United States,0,1,0,0,0.6,0.6,1,11.77920229,1.073436545
140,Uruguay,1,0,1,0,1,1,1,-0.181739006,1.372264405
141,Uzbekistan,0,0,1,1,1,1,0,-0.028343547,-1.782029665
142,Venezuela,1,0,0,0,1,1,0,-0.195603993,-0.885546087
143,Viet Nam,0,0,1,1,1,1,1,-0.104428067,-1.217577042
144,Western Sahara,0,0,1,0,1,1,1,-0.3,-1.6
145,Yemen,0,0,0,0,1,1,0,-0.135562058,-1.416795615
146,Zambia,0,0,1,0,1,1,0,-0.198079855,-0.022265605