Id,Country,OPANAL,EU,ATT,UNRCPD,protocal1,protocal2,protocal3
0,Afghanistan,0.00,0.00,1.00,1.00,1.00,1.00,0.00
1,Albania,0.00,0.00,1.00,0.00,1.00,1.00,1.00
2,Algeria,0.00,0.00,1.00,0.00,1.00,1.00,0.00
3,Angola,0.00,0.00,1.00,0.00,1.00,0.00,0.60
4,Argentina,1.00,0.00,1.00,0.00,1.00,1.00,1.00
5,Australia,0.00,0.00,1.00,1.00,1.00,1.00,1.00
6,Austria,0.00,1.00,1.00,0.00,1.00,1.00,1.00
7,Azerbaijan,0.00,0.00,1.00,0.00,0.00,0.00,0.00
8,Bahrain,0.00,0.00,0.00,0.00,1.00,1.00,0.00
9,Bangladesh,0.00,0.00,1.00,1.00,1.00,1.00,0.00
10,Belarus,0.00,0.00,0.00,0.00,1.00,1.00,1.00
11,Belgium,0.00,1.00,1.00,0.00,1.00,1.00,1.00
12,Bolivia,1.00,0.00,1.00,0.00,1.00,1.00,0.60
13,Botswana,0.00,0.00,1.00,0.00,1.00,1.00,0.00
14,Brazil,1.00,0.00,1.00,0.00,1.00,1.00,1.00
15,Bulgaria,0.00,1.00,1.00,0.00,1.00,1.00,1.00
16,Burkina Faso,0.00,0.00,1.00,0.00,1.00,1.00,1.00
17,Cameroon,0.00,0.00,1.00,0.00,1.00,1.00,0.00
18,Canada,0.00,0.00,1.00,0.00,1.00,1.00,1.00
19,Central African Republic,0.00,0.00,1.00,0.00,1.00,1.00,0.00
20,Chile,1.00,0.00,1.00,0.00,1.00,1.00,1.00
21,China,0.00,0.00,0.00,1.00,1.00,1.00,0.00
22,Colombia,1.00,0.00,1.00,0.00,1.00,1.00,0.60
23,Cote d'Ivoire,0.00,0.00,1.00,0.00,1.00,1.00,1.00
24,Croatia,0.00,1.00,1.00,0.00,1.00,1.00,1.00
25,Czechia,0.00,1.00,1.00,0.00,1.00,1.00,1.00
26,Denmark,0.00,1.00,1.00,0.00,1.00,1.00,1.00
27,Ecuador,1.00,0.00,1.00,0.00,1.00,1.00,0.60
28,Egypt,0.00,0.00,0.00,0.00,1.00,1.00,0.00
29,Equatorial Guinea,0.00,0.00,1.00,0.00,1.00,1.00,0.00
30,Estonia,0.00,1.00,1.00,0.00,1.00,1.00,1.00
31,Ethiopia,0.00,0.00,1.00,0.00,1.00,1.00,0.60
32,Finland,0.00,1.00,1.00,0.00,1.00,1.00,1.00
33,France,0.00,1.00,1.00,0.00,1.00,1.00,1.00
34,Georgia,0.00,0.00,1.00,0.00,1.00,1.00,1.00
35,Germany,0.00,1.00,1.00,0.00,1.00,1.00,1.00
36,Greece,0.00,1.00,1.00,0.00,1.00,1.00,1.00
37,Guatemala,1.00,0.00,1.00,0.00,1.00,1.00,1.00
38,Guyana,1.00,0.00,1.00,0.00,1.00,1.00,1.00
39,Honduras,1.00,0.00,1.00,0.00,1.00,1.00,1.00
40,Hungary,0.00,1.00,1.00,0.00,1.00,1.00,1.00
41,India,0.00,0.00,0.00,1.00,0.00,0.00,0.00
42,Indonesia,0.00,0.00,1.00,1.00,0.00,0.00,0.00
43,Iran,0.00,0.00,0.00,0.00,0.60,0.60,0.00
44,Iraq,0.00,0.00,0.00,0.00,1.00,0.00,0.00
45,Ireland,0.00,1.00,1.00,0.00,1.00,1.00,0.60
46,Israel,0.00,0.00,0.00,0.00,0.00,0.00,1.00
47,Italy,0.00,1.00,1.00,0.00,1.00,1.00,1.00
48,Jamaica,1.00,0.00,1.00,0.00,1.00,1.00,0.60
49,Japan,0.00,0.00,1.00,1.00,1.00,1.00,0.00
50,Jordan,0.00,0.00,1.00,0.00,1.00,1.00,0.00
51,Kazakhstan,0.00,0.00,1.00,1.00,1.00,1.00,1.00
52,Kenya,0.00,0.00,1.00,0.00,1.00,1.00,1.00
53,Kuwait,0.00,0.00,0.00,0.00,1.00,1.00,0.00
54,Laos,0.00,0.00,0.00,1.00,1.00,1.00,0.00
55,Latvia,0.00,1.00,1.00,0.00,1.00,1.00,1.00
56,Lebanon,0.00,0.00,1.00,0.00,1.00,1.00,0.00
57,Lesotho,0.00,0.00,1.00,0.00,1.00,1.00,0.00
58,Libya GNC,0.00,0.00,0.00,0.00,1.00,1.00,1.00
59,Libya HoR,0.00,0.00,0.00,0.00,1.00,1.00,1.00
60,Lithuania,0.00,1.00,1.00,0.00,1.00,1.00,1.00
61,Malaysia,0.00,0.00,1.00,1.00,0.00,0.00,0.00
62,Mali,0.00,0.00,1.00,0.00,1.00,1.00,0.00
63,Mexico,1.00,0.00,1.00,0.00,1.00,0.00,1.00
64,Montenegro,0.00,0.00,1.00,0.00,1.00,1.00,0.00
65,Morocco,0.00,0.00,1.00,0.00,1.00,1.00,0.00
66,Myanmar,0.00,0.00,1.00,1.00,0.00,0.00,0.00
67,Nepal,0.00,0.00,0.00,1.00,0.00,0.00,0.60
68,Netherlands,0.00,1.00,1.00,0.00,1.00,1.00,1.00
69,New Zealand,0.00,0.00,1.00,1.00,1.00,1.00,1.00
70,Nigeria,0.00,0.00,1.00,0.00,1.00,1.00,0.00
71,Norway,0.00,0.00,1.00,0.00,1.00,1.00,1.00
72,Oman,0.00,0.00,0.00,0.00,1.00,1.00,0.00
73,Pakistan,0.00,0.00,0.00,1.00,0.60,0.60,0.00
74,Panama,1.00,0.00,1.00,0.00,1.00,1.00,1.00
75,Papua New Guinea,0.00,0.00,1.00,1.00,0.00,0.00,0.00
76,Peru,1.00,0.00,1.00,0.00,1.00,1.00,1.00
77,Philippines,0.00,0.00,1.00,1.00,1.00,1.00,1.00
78,Poland,0.00,1.00,1.00,0.00,1.00,1.00,1.00
79,Portugal,0.00,1.00,1.00,0.00,1.00,1.00,1.00
80,Qatar,0.00,0.00,0.00,0.00,1.00,1.00,0.00
81,Romania,0.00,1.00,1.00,0.00,1.00,1.00,1.00
82,Russia,0.00,0.00,0.00,0.00,1.00,1.00,0.60
83,Rwanda,0.00,0.00,1.00,0.00,1.00,1.00,0.00
84,Saudi Arabia,0.00,0.00,1.00,0.00,1.00,1.00,0.00
85,Senegal,0.00,0.00,1.00,0.00,1.00,1.00,0.00
86,Serbia,0.00,0.00,1.00,0.00,1.00,1.00,1.00
87,Seychelles,0.00,0.00,1.00,0.00,1.00,1.00,0.00
88,Singapore,0.00,0.00,1.00,1.00,0.00,0.00,1.00
89,Slovakia,0.00,1.00,1.00,0.00,1.00,1.00,1.00
90,South Africa,0.00,0.00,1.00,0.00,1.00,1.00,0.00
91,South Korea,0.00,0.00,1.00,0.00,1.00,1.00,0.60
92,Spain,0.00,1.00,1.00,0.00,1.00,1.00,1.00
93,Sri Lanka,0.00,0.00,1.00,1.00,0.00,0.00,0.00
94,Sudan,0.00,0.00,0.00,0.00,1.00,1.00,0.00
95,Sweden,0.00,1.00,1.00,0.00,1.00,1.00,1.00
96,Switzerland,0.00,0.00,1.00,0.00,1.00,1.00,1.00
97,Syria,0.00,0.00,0.00,0.00,1.00,0.00,0.00
98,Taiwan,0.00,0.00,1.00,0.00,1.00,1.00,1.00
99,Tajikistan,0.00,0.00,1.00,1.00,1.00,1.00,0.00
100,Tanzania,0.00,0.00,1.00,0.00,1.00,1.00,1.00
101,Thailand,0.00,0.00,1.00,1.00,0.00,0.00,0.00
102,Tunisia,0.00,0.00,1.00,0.00,1.00,1.00,0.00
103,Turkey,0.00,0.00,1.00,0.00,0.00,0.00,0.60
104,UAE,0.00,0.00,0.00,0.00,1.00,1.00,0.00
105,Uganda,0.00,0.00,1.00,0.00,1.00,1.00,1.00
106,Ukraine,0.00,0.00,1.00,0.00,1.00,1.00,1.00
107,United Kingdom,0.00,1.00,1.00,0.00,1.00,1.00,1.00
108,United States,0.00,0.00,0.00,0.00,0.60,0.60,1.00
109,Uruguay,1.00,0.00,1.00,0.00,1.00,1.00,1.00
110,Uzbekistan,0.00,0.00,1.00,1.00,1.00,1.00,0.00
111,Viet Nam,0.00,0.00,1.00,1.00,1.00,1.00,1.00
112,Yemen,0.00,0.00,0.00,0.00,1.00,1.00,0.00